Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
ea3a4ede3ab023eb57ccfe5e70552d25,https://www.nitrotype.com/racer/ea3a4ede3ab023eb57ccfe5e70552d25,I Hit Deer,I Hate Words,377,0,58.75776028516263,270,33211.53655608616,95.07401116233923,ESTER
4c5ee751aec02a73e3cf6e88a2e87f6e,https://www.nitrotype.com/racer/4c5ee751aec02a73e3cf6e88a2e87f6e,Malachi,The ATM Machine,316,200,56.72368421052632,293,33207.57106838839,88.29447923915565,SZM
0a110d089dcdfd089a83ac9b4736a544,https://www.nitrotype.com/racer/0a110d089dcdfd089a83ac9b4736a544,space cat,Novice Navigator,96,0,28.013927242165927,320,33191.247668495496,90.97922238222587,AURA80
seattle1345543,https://www.nitrotype.com/racer/seattle1345543,seattle1345543,Champion Chaser,55,220,114.24927745664739,218,33188.01959940827,96.8903561196805,FTINT
agentdevo,https://www.nitrotype.com/racer/agentdevo,Like a Jet PAC,Aquarian Conqueror,107,280,89.62027737924437,241,33168.02521852031,95.03938184379602,A3
he4rts,https://www.nitrotype.com/racer/he4rts,D1CE-_,California Dreamin',343,180,76.32780903147331,254,33158.33967738095,94.4853468470622,QX
rip_1dndjw,https://www.nitrotype.com/racer/rip_1dndjw,1dndjw,Expert Extraordinaire,239,220,50.604160729552575,280,33154.6044547145,94.49907078898462,NHS
daba91cacb45b3157a362772f180805a,https://www.nitrotype.com/racer/daba91cacb45b3157a362772f180805a,Caden1,Epic Word Skippage,316,200,40.67083280193853,304,33111.66977449144,90.51364063969896,NTO
fb05b24bfdb7ce23971259ada91eafc0,https://www.nitrotype.com/racer/fb05b24bfdb7ce23971259ada91eafc0,lil speedy123,Spring-a-round,304,320,34.15280730273853,304,33067.31458743426,92.908611599297,DKC
4b904b5c86b89bd339ef9382b5b1fe59,https://www.nitrotype.com/racer/4b904b5c86b89bd339ef9382b5b1fe59,Igris the Bloodred,"Peace, Love, Nitros",259,0,18.310859911182884,315,33049.72085652061,96.11958726519093,SSME
3b391c1828487798c8f1228d46e412ab,https://www.nitrotype.com/racer/3b391c1828487798c8f1228d46e412ab,Ibberman,Original Gangster,255,0,73.87028921998248,257,33008.625532328966,93.79493628835156,ASPN
savage233323,https://www.nitrotype.com/racer/savage233323,erymaj,Champion Chaser,255,0,75.818569600455,276,32991.15592596747,86.67521829147537,REB3LS
db6d20b27f279b36866fc5ce9986cfb1,https://www.nitrotype.com/racer/db6d20b27f279b36866fc5ce9986cfb1,Jaguarpurpleranodo,I Hate Words,304,0,32.29402756508423,296,32975.837999939584,95.91710925644917,BEGO0D
jamarcusgocrazy,https://www.nitrotype.com/racer/jamarcusgocrazy,jamarcus,Legendary Lapper,276,0,88.57540003232586,238,32963.6353143302,95.990628010861,AMPX
